epoch,accuracy,loss,val_accuracy,val_loss
0,0.7808571457862854,0.6337470412254333,0.7428571581840515,0.7091165781021118
1,0.8401428461074829,0.4513607919216156,0.7239999771118164,0.7542303800582886
2,0.8808571696281433,0.33562159538269043,0.7462857365608215,0.6854146718978882
3,0.9141428470611572,0.25070151686668396,0.7411428689956665,0.7796193361282349
4,0.9298571348190308,0.20509938895702362,0.7468571662902832,0.7994853258132935
5,0.9422857165336609,0.1589287519454956,0.7354285717010498,0.8355889320373535
6,0.9602857232093811,0.11810547858476639,0.7622857093811035,0.886726438999176
7,0.965571403503418,0.10125168412923813,0.7594285607337952,0.8454746603965759
8,0.9674285650253296,0.09540669620037079,0.7720000147819519,0.8730542659759521
0,0.8212857246398926,0.4980630576610565,0.8568571209907532,0.4008866548538208
1,0.8802857398986816,0.3413163423538208,0.8571428656578064,0.3944396376609802
2,0.9079285860061646,0.2641567587852478,0.8817142844200134,0.3458483815193176
3,0.93407142162323,0.19097504019737244,0.8688571453094482,0.38693755865097046
4,0.947857141494751,0.15094928443431854,0.8834285736083984,0.3594001531600952
5,0.960357129573822,0.11350889503955841,0.8937143087387085,0.38194936513900757
6,0.9656428694725037,0.09895669668912888,0.8942857384681702,0.4068838953971863
7,0.9766428470611572,0.07256820052862167,0.8865714073181152,0.4358178973197937
8,0.9738571643829346,0.07524103671312332,0.8877142667770386,0.3950563967227936
