epoch,accuracy,loss,val_accuracy,val_loss
0,0.7962857142857143,0.6512920942987714,0.8966666666666666,0.3049291863753682
1,0.9094285714285715,0.2769132812363761,0.8985714285714286,0.30058897793293
2,0.9507142857142857,0.16161175348503248,0.9176190476190477,0.26063577708034286
3,0.9647142857142857,0.10934410241671971,0.9147619047619048,0.27778106285347826
4,0.9695714285714285,0.09570336424772229,0.9080952380952381,0.338906944653108
5,0.9758571428571429,0.0774268876080002,0.9138095238095238,0.328442589363438
6,0.979,0.0684173610130591,0.9180952380952381,0.3156458030228636
7,0.9842857142857143,0.05240162470351373,0.9223809523809524,0.3037742199021436
8,0.9857142857142858,0.050360922184905836,0.9152380952380952,0.36071075827592897
9,0.9874285714285714,0.038376468354570016,0.9142857142857143,0.3367986862254994
10,0.9888571428571429,0.037165972435580834,0.9195238095238095,0.31535159528255463
11,0.9874285714285714,0.03852828880359552,0.9161904761904762,0.3534661279689698
12,0.9908571428571429,0.03124172523152083,0.9161904761904762,0.34175088745320126
13,0.9881428571428571,0.04284132144786418,0.9123809523809524,0.37404332323443323
14,0.9841428571428571,0.05231126564834267,0.92,0.3058294078459342
