epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,18225,1.23656,1.21344,0.01293,0.78211,0.63003,0.70792,0.53492,1.29166,1.24665,0.01281,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,18635.7,1.22939,1.2049,0.01279,0.7924,0.63266,0.71126,0.5368,1.28893,1.24853,0.01284,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,19046.2,1.23116,1.19551,0.01267,0.77985,0.63506,0.71034,0.53802,1.28118,1.24982,0.01267,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,19456.4,1.22527,1.1793,0.01267,0.77979,0.63638,0.71495,0.54176,1.27985,1.23003,0.01271,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,19865.9,1.21332,1.17464,0.01268,0.79857,0.63548,0.7218,0.54689,1.27255,1.21946,0.0126,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,20363.3,1.22205,1.16064,0.01255,0.78386,0.64932,0.72374,0.54797,1.27119,1.22245,0.01255,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,20920.5,1.21499,1.14273,0.01243,0.78993,0.64936,0.7264,0.55017,1.26503,1.20679,0.0125,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,21486,1.19864,1.11768,0.01244,0.81137,0.64023,0.7282,0.55309,1.25935,1.19936,0.01237,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,22009.6,1.20191,1.13103,0.01243,0.78803,0.65223,0.72778,0.55382,1.26255,1.20126,0.01242,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,22500.3,1.20067,1.10444,0.01239,0.79493,0.65502,0.72938,0.55525,1.26121,1.19707,0.01234,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,23004.1,1.19573,1.09607,0.01238,0.80685,0.65299,0.73106,0.55719,1.25937,1.199,0.01228,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,23504.8,1.19867,1.09613,0.01217,0.80281,0.65636,0.73263,0.55892,1.25836,1.19442,0.01224,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
