class_id,class_name,n_objects,fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,high_freq_energy
0,plastic,1145,0.790983,0.113958,0.04217,0.025851,0.0165,0.009409,0.000944,0.000183,0.027036
1,glass,1143,0.77479,0.13109,0.044607,0.025492,0.0151,0.008206,0.000609,0.000106,0.02402
2,metal,1143,0.763715,0.129603,0.048137,0.028377,0.018394,0.010389,0.001163,0.000221,0.030167
3,paper,1143,0.700595,0.153888,0.063076,0.039608,0.025176,0.014883,0.002291,0.000481,0.04283
4,cardboard,1142,0.742699,0.134157,0.052303,0.033371,0.022032,0.013101,0.001908,0.000426,0.037467
5,organic,1142,0.823676,0.116531,0.030848,0.015147,0.008819,0.004758,0.000191,3e-05,0.013798
6,other,1142,0.848637,0.092931,0.028884,0.014857,0.00871,0.005093,0.00073,0.000157,0.014689
