class_id,class_name,n_objects,mean_intensity,std_intensity,p10_intensity,p50_intensity,p90_intensity,grad_mean,grad_std,edge_density
0,plastic,1145,140.477203,41.30151,88.237122,140.085587,192.227509,65.245537,81.038109,0.123002
1,glass,1143,134.700516,47.754181,76.134293,132.276031,199.33989,81.952209,97.886818,0.143135
2,metal,1143,137.334213,50.642498,72.094048,137.438324,202.629044,92.331802,103.275352,0.170736
3,paper,1143,158.951187,44.415127,97.699913,164.820648,210.777771,94.459129,102.252991,0.168458
4,cardboard,1142,143.763702,40.72094,91.731613,144.951843,193.641418,68.299271,87.896461,0.118409
5,organic,1142,121.486206,34.040234,77.88266,121.245621,165.361206,56.889576,58.630226,0.10605
6,other,1142,152.639725,53.22007,82.664627,154.201843,218.832748,86.890862,96.929123,0.15555
