epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17803.6,1.10584,1.06009,0.01202,0.77032,0.62528,0.70558,0.52736,1.23179,1.27132,0.01387,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,18397,1.0572,0.89127,0.01484,0.76962,0.63067,0.70865,0.52994,1.22667,1.26758,0.01376,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,18973.4,1.03992,0.8585,0.01437,0.76157,0.64048,0.70851,0.53063,1.23007,1.26284,0.01371,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,19550.4,1.01961,0.82925,0.01388,0.77216,0.63226,0.70666,0.52958,1.23149,1.26534,0.01375,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,20126.8,1.01282,0.81668,0.01383,0.76983,0.63739,0.70748,0.53046,1.23152,1.26457,0.01368,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,20685,1.00992,0.80798,0.01373,0.7834,0.62953,0.70793,0.53084,1.23256,1.26185,0.01369,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,21239.4,0.99893,0.78966,0.01353,0.78183,0.6274,0.70795,0.53107,1.23307,1.26548,0.01367,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,21798.1,0.99289,0.78976,0.01335,0.78074,0.63152,0.70869,0.53181,1.23121,1.26692,0.01367,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,22372.7,0.98667,0.77086,0.01325,0.78336,0.62962,0.70833,0.53143,1.23141,1.26422,0.01366,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,22947.3,0.98398,0.77749,0.0131,0.78285,0.63174,0.7088,0.53252,1.23037,1.26637,0.01363,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,23534.7,0.97678,0.76242,0.013,0.78094,0.63308,0.70706,0.5315,1.23058,1.26704,0.01362,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
