epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,528.139,1.13198,1.00698,0.01149,0.77216,0.61824,0.69139,0.52002,1.31776,1.48526,0.01326,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075
2,972.639,1.1098,0.95647,0.01105,0.77172,0.61986,0.69236,0.51551,1.30731,1.31313,0.01337,0.0199584,0.00665281,0.0199584,0.00665281,0.0199584,0.00665281,0.0199584,0.00665281
3,2630.82,1.14233,0.99434,0.01154,0.75351,0.61363,0.67952,0.49602,1.35503,1.36295,0.01399,0.0297898,0.00992992,0.0297898,0.00992992,0.0297898,0.00992992,0.0297898,0.00992992
4,4061.98,1.1965,1.11716,0.01241,0.74971,0.59764,0.66697,0.48324,1.36465,1.4318,0.01434,0.0295456,0.00984853,0.0295456,0.00984853,0.0295456,0.00984853,0.0295456,0.00984853
5,5413.19,1.1985,1.12283,0.01235,0.73097,0.58035,0.65252,0.47524,1.36368,1.47095,0.01418,0.0291954,0.0097318,0.0291954,0.0097318,0.0291954,0.0097318,0.0291954,0.0097318
