epoch,accuracy,loss,val_accuracy,val_loss
0,0.7348571428571429,0.8238036539895194,0.8480952380952381,0.4198341443425133
1,0.87,0.3926778231688908,0.8771428571428571,0.34767367978890734
2,0.9082857142857143,0.28574334274019514,0.8914285714285715,0.31421626756588616
3,0.9328571428571428,0.20863453429937362,0.8861904761904762,0.32806894134907494
4,0.9465714285714286,0.1610254110821656,0.9028571428571428,0.30174383523918336
5,0.9605714285714285,0.11804309456263269,0.9038095238095238,0.28826625472023376
6,0.968,0.09771477908534663,0.9123809523809524,0.2993420970297995
7,0.9731428571428572,0.08046823816001415,0.9076190476190477,0.320795836328041
8,0.9807142857142858,0.05703648452434157,0.9071428571428571,0.33278269299439023
9,0.981,0.0593880174692188,0.9142857142857143,0.3178091803193092
10,0.9842857142857143,0.05070260470892702,0.9057142857142857,0.3534119370437804
11,0.9867142857142858,0.04039567437980856,0.9080952380952381,0.3362524542212486
12,0.9877142857142858,0.04054289155719536,0.9066666666666666,0.36847025180856385
13,0.9855714285714285,0.04140198781461056,0.9076190476190477,0.37482837540762765
14,0.9872857142857143,0.03482918168018971,0.9066666666666666,0.352143815216564
