epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.101,0.79472,0.82255,1.23795,0.80232,0.69624,0.78288,0.56979,0.89138,0.80456,1.27157,0.000302822,0.000302822,0.000302822
2,959.514,0.83189,0.8951,1.26773,0.79788,0.67691,0.76396,0.54864,0.91635,0.87634,1.30582,0.000565838,0.000565838,0.000565838
3,1684.27,0.85444,0.94615,1.28493,0.79233,0.66496,0.75825,0.54039,0.93831,0.88277,1.32111,0.000788858,0.000788858,0.000788858
4,2045.86,0.86127,0.95029,1.28924,0.77453,0.67549,0.7515,0.53775,0.91203,0.89051,1.2971,0.000729018,0.000729018,0.000729018
5,2377.31,0.85152,0.93552,1.2827,0.79108,0.66942,0.76088,0.54198,0.91797,0.87402,1.30361,0.000669024,0.000669024,0.000669024
6,2730.2,0.90786,0.91522,1.35261,0.79414,0.67655,0.77197,0.55417,0.90471,0.84035,1.29339,0.00060903,0.00060903,0.00060903
