class_id,class_name,n_objects,hsv_h_hist_1,hsv_h_hist_2,hsv_h_hist_3,hsv_h_hist_4,hsv_h_hist_5,hsv_h_hist_6,hsv_h_hist_7,hsv_h_hist_8,hsv_h_hist_9,hsv_h_hist_10,hsv_h_hist_11,hsv_h_hist_12,hsv_h_hist_13,hsv_h_hist_14,hsv_h_hist_15,hsv_h_hist_16,hsv_s_hist_1,hsv_s_hist_2,hsv_s_hist_3,hsv_s_hist_4,hsv_s_hist_5,hsv_s_hist_6,hsv_s_hist_7,hsv_s_hist_8,hsv_v_hist_1,hsv_v_hist_2,hsv_v_hist_3,hsv_v_hist_4,hsv_v_hist_5,hsv_v_hist_6,hsv_v_hist_7,hsv_v_hist_8,b_mean,g_mean,r_mean,b_std,g_std,r_std,h_mean,s_mean,v_mean,h_std,s_std,v_std
0,plastic,4000,0.040859,0.056837,0.029009,0.012934,0.008561,0.005151,0.011614,0.007454,0.023297,0.057053,0.054676,0.007903,0.003768,0.002676,0.004255,0.007287,0.200843,0.048374,0.021616,0.014085,0.013242,0.013743,0.010156,0.011275,0.010429,0.020142,0.024173,0.036543,0.062137,0.073038,0.057078,0.049794,145.328003,143.692825,140.504028,40.879246,41.007896,44.686447,69.726974,51.428699,158.275391,30.822588,37.984673,39.446156
1,glass,4000,0.096191,0.067619,0.022088,0.014827,0.01812,0.022296,0.009509,0.006217,0.015446,0.018609,0.018196,0.005211,0.003408,0.002283,0.004966,0.008346,0.128525,0.045236,0.030301,0.025529,0.02381,0.02278,0.02291,0.034243,0.015944,0.030764,0.037432,0.04537,0.046951,0.046899,0.046815,0.063159,113.225037,132.324005,136.411514,51.467209,48.273556,49.952084,46.638451,86.956955,149.467392,29.876423,44.413525,47.788628
2,metal,4000,0.063092,0.075088,0.044392,0.016102,0.00724,0.00522,0.009279,0.005954,0.014061,0.02992,0.030249,0.010017,0.004503,0.002509,0.004678,0.01103,0.176513,0.064704,0.03166,0.018774,0.013328,0.010564,0.008722,0.009068,0.014348,0.026761,0.038597,0.047964,0.05389,0.056816,0.049448,0.045508,127.580933,133.835953,139.998657,53.714931,52.06485,51.080685,54.779606,51.842274,146.929291,31.799288,36.81765,50.062424
3,paper,4000,0.069093,0.083749,0.038432,0.012041,0.004918,0.003301,0.00519,0.003516,0.011716,0.026536,0.040332,0.011511,0.004369,0.002771,0.006458,0.0094,0.196642,0.05844,0.025532,0.017861,0.013387,0.010122,0.006258,0.005092,0.008049,0.013566,0.023898,0.033849,0.045186,0.064032,0.078978,0.065776,149.785309,155.426773,162.732468,47.291672,45.822762,45.114834,54.461048,44.904789,169.235992,34.301315,30.9296,44.255951
4,cardboard,4000,0.044202,0.205411,0.020415,0.004723,0.002666,0.001869,0.002213,0.001702,0.006511,0.01474,0.01224,0.003369,0.001969,0.001705,0.002397,0.007201,0.069929,0.046882,0.073215,0.073205,0.039099,0.016931,0.008145,0.005927,0.005076,0.012875,0.024571,0.040114,0.061602,0.075833,0.066208,0.047053,115.469269,138.27211,159.72966,44.14518,41.635864,40.384995,33.179142,86.194885,163.302948,25.358068,37.973705,39.541504
5,organic,4000,0.086466,0.080196,0.040693,0.023254,0.018682,0.011215,0.010122,0.011015,0.014325,0.004644,0.001924,0.001678,0.001594,0.001939,0.005732,0.019855,0.040614,0.065244,0.051394,0.040408,0.037025,0.034416,0.027488,0.036745,0.011993,0.026356,0.037726,0.047757,0.056772,0.058368,0.052329,0.042033,88.862549,117.852654,141.286713,35.713379,35.72789,32.783264,43.277931,115.219772,147.616837,28.837631,36.627773,34.276512
