epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.337,1.18738,1.32518,0.01276,0.62844,0.51404,0.5551,0.29884,1.66698,1.64568,0.01464,0.000332237,0.000332237,0.000332237
2,258.626,1.21337,1.24219,0.01295,0.59645,0.48514,0.50899,0.26913,1.71731,1.79931,0.01542,0.000654798,0.000654798,0.000654798
3,371.257,1.22933,1.15453,0.0167,0.5684,0.5088,0.52377,0.27338,1.73555,1.66274,0.01571,0.000935335,0.000935335,0.000935335
4,482.683,1.2206,1.14794,0.0165,0.54793,0.48784,0.483,0.24935,1.76979,1.86055,0.01616,0.000860876,0.000860876,0.000860876
5,594.28,1.19983,1.07479,0.01613,0.59843,0.4537,0.49149,0.25386,1.77538,1.8062,0.01627,0.0007625,0.0007625,0.0007625
6,705.497,1.16919,1.03586,0.01545,0.58598,0.49259,0.51623,0.27157,1.73544,1.69841,0.01552,0.000647939,0.000647939,0.000647939
7,816.569,1.14964,0.99203,0.01519,0.61656,0.4944,0.53798,0.27999,1.73138,1.67166,0.0154,0.000525,0.000525,0.000525
