epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10201.2,1.30391,1.40623,0.01394,0.74258,0.58316,0.66375,0.49104,1.33543,1.36634,0.01339,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,10491.4,1.29891,1.39597,0.01383,0.73192,0.59187,0.66295,0.49152,1.33248,1.37422,0.01338,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,10781,1.30673,1.38335,0.01383,0.73509,0.59302,0.66601,0.49463,1.33024,1.37119,0.01333,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,11070.5,1.29638,1.36722,0.01369,0.74998,0.58585,0.66985,0.49725,1.33165,1.36293,0.01339,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,305.655,1.28459,1.34233,0.01367,0.75661,0.58972,0.67337,0.50091,1.32161,1.3409,0.01325,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,599.258,1.28908,1.35714,0.01361,0.74001,0.60283,0.67805,0.50534,1.32328,1.33712,0.01323,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,892.572,1.28912,1.35007,0.01361,0.75236,0.60164,0.68065,0.5075,1.31978,1.33311,0.01321,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,1189.83,1.29071,1.34591,0.01364,0.77493,0.59211,0.68333,0.51088,1.32254,1.32042,0.01322,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,1489.89,1.28141,1.32487,0.01349,0.75504,0.60296,0.68578,0.51392,1.31411,1.32363,0.01313,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,1790.43,1.27744,1.31312,0.01333,0.75547,0.60298,0.68793,0.51649,1.3139,1.31711,0.01313,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
