epoch,train_loss,val_loss,train_acc,val_acc
1,1.912729,1.7648,0.184167,0.206
2,1.722655,1.682435,0.249,0.297333
3,1.67668,1.626402,0.291667,0.326
4,1.646889,1.589731,0.318167,0.342667
5,1.62274,1.578262,0.337333,0.363333
